,state_name,state,emergency_date
1,Alabama,AL,2020-03-13
2,Alaska,AK,2020-03-11
3,Arizona,AZ,2020-03-11
4,Arkansas,AR,2020-03-11
5,California,CA,2020-03-04
6,Colorado,CO,2020-03-10
7,Connecticut,CT,2020-03-10
8,Delaware,DE,2020-03-12
9,District of Columbia,DC,2020-03-11
10,Florida,FL,2020-03-07
11,Georgia,GA,2020-03-13
12,Hawaii,HI,2020-03-10
13,Idaho,ID,2020-03-13
14,Illinois,IL,2020-03-09
15,Indiana,IN,2020-03-06
16,Iowa,IA,2020-03-09
17,Kansas,KS,2020-03-12
18,Kentucky,KY,2020-03-06
19,Louisiana,LA,2020-03-11
20,Maine,ME,2020-03-15
21,Montana,MT,2020-03-12
22,Nebraska,NE,2020-03-13
23,Nevada,NV,2020-03-12
24,New Hampshire,NH,2020-03-13
25,New Jersey,NJ,2020-03-09
26,New Mexico,NM,2020-03-11
27,New York,NY,2020-03-07
28,North Carolina,NC,2020-03-12
29,North Dakota,ND,2020-03-13
30,Ohio,OH,2020-03-09
31,Oklahoma,OK,2020-03-15
32,Oregon,OR,2020-03-08
33,Maryland,MD,2020-03-05
34,Massachusetts,MA,2020-03-10
35,Michigan,MI,2020-03-10
36,Minnesota,MN,2020-03-13
37,Mississippi,MS,2020-03-14
38,Missouri,MO,2020-03-13
39,Pennsylvania,PA,2020-03-06
40,Rhode Island,RI,2020-03-13
41,South Carolina,SC,2020-03-13
42,South Dakota,SD,2020-03-13
43,Tennessee,TN,2020-03-12
44,Texas,TX,2020-03-12
45,Utah,UT,2020-03-06
46,Vermont,VT,2020-03-13
47,Virginia,VA,2020-03-12
48,Washington,WA,2020-02-29
49,West Virginia,WV,2020-03-16
50,Wisconsin,WI,2020-03-12
51,Wyoming,WY,2020-03-13
